                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.4062,                 1.2252,                 1.4308,                0.66582,                    0.5,                  0.545,                0.37659,                 1.8641,                 2.6656,                  1.982,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.2973,                 1.1339,                 1.4317,                0.92514,                    0.5,                   0.62,                0.33479,                 2.1405,                 1.9531,                 1.7708,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.3688,                 1.2324,                 1.4926,                0.93403,                    0.5,                  0.695,                0.42682,                 1.8785,                 1.5485,                 1.5993,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.4411,                 1.2158,                 1.5395,                0.87344,                    0.5,                0.57192,                0.26317,                 2.6342,                 1.6318,                 2.3506,              0.0015149,              0.0015149,              0.0015149
                     52,                  1.515,                  1.253,                 1.5612,                0.90258,                    0.5,                  0.695,                0.61526,                 1.0377,                 1.4681,                 1.0722,               0.001505,               0.001505,               0.001505
                     53,                 1.3006,                 1.2147,                 1.4926,                0.91605,                    0.5,                  0.745,                0.44671,                 1.4952,                 1.2449,                 1.2319,              0.0014951,              0.0014951,              0.0014951
                     54,                  1.371,                 1.1522,                 1.4548,                0.63681,                      1,                0.82833,                0.50494,                 1.3949,                 1.4124,                 1.2692,              0.0014852,              0.0014852,              0.0014852
                     55,                 1.3036,                 1.1788,                 1.4689,                      1,                  0.951,                  0.995,                0.39612,                 1.4852,                 1.5149,                  1.404,              0.0014753,              0.0014753,              0.0014753
                     56,                 1.2685,                 1.0515,                  1.384,                0.91795,                    0.5,                  0.745,                0.48058,                 1.2744,                  1.125,                 1.5993,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.2967,                   1.13,                 1.4376,                0.94958,                    0.5,                  0.745,                0.62088,                 1.1476,                 1.0836,                  1.355,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.3387,                 1.1175,                 1.4083,                0.65039,                0.95118,                0.82833,                0.56283,                 1.2136,                 1.3591,                 1.3561,              0.0014456,              0.0014456,              0.0014456
                     59,                 1.2646,                 1.0576,                  1.395,                0.95173,                    0.5,                0.63786,                0.33014,                 1.8919,                 1.5037,                 1.7557,              0.0014357,              0.0014357,              0.0014357
                     60,                 1.3728,                 1.1662,                 1.4641,                 0.9542,                    0.5,                0.82833,                0.35931,                 2.1646,                 1.2326,                 1.9486,              0.0014258,              0.0014258,              0.0014258
                     61,                 1.3193,                 1.1271,                 1.4576,                0.66308,                0.98925,                0.82833,                0.56965,                 1.3814,                 1.1413,                 1.5111,              0.0014159,              0.0014159,              0.0014159
                     62,                 1.3501,                 1.1598,                 1.4684,                      1,                0.99437,                  0.995,                0.74614,                 1.1153,                 1.0334,                 1.1711,               0.001406,               0.001406,               0.001406
                     63,                 1.2466,                 1.0508,                 1.4095,                0.97483,                      1,                  0.995,                0.79576,                 1.1143,                0.96978,                 1.2659,              0.0013961,              0.0013961,              0.0013961
                     64,                 1.1879,                0.98611,                  1.383,                0.65684,                      1,                0.82833,                0.44696,                  1.796,                 2.0797,                 1.5741,              0.0013862,              0.0013862,              0.0013862
                     65,                  1.284,                 1.1172,                 1.4612,                0.64212,                      1,                0.82833,                0.41365,                 1.8892,                  1.902,                 1.7047,              0.0013763,              0.0013763,              0.0013763
                     66,                 1.2706,                 1.0995,                 1.3899,                0.99697,                      1,                  0.995,                0.74575,                0.99749,                  0.999,                  1.205,              0.0013664,              0.0013664,              0.0013664
                     67,                  1.249,                 1.0709,                 1.3774,                      1,                 0.9693,                  0.995,                0.82083,                0.90829,                 1.0181,                 1.1851,              0.0013565,              0.0013565,              0.0013565
                     68,                 1.2063,                 1.0004,                 1.3918,                      1,                0.94106,                  0.995,                  0.796,                0.99198,                 1.2389,                 1.1848,              0.0013466,              0.0013466,              0.0013466
